age,citizenship,event_location,event_location_district,event_location_region,gender,took_part_in_the_hostilities,place_of_residence,place_of_residence_district,type_of_injury,ammunition,killed_by
19.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,Yes,Beit Lahiya,North Gaza,gunfire,shell,Israeli security forces
25.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
26.0,Palestinian,al-Fukhari,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
26.0,Palestinian,al-Fukhari,Khan Yunis,Gaza Strip,M,Yes,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces
21.0,Palestinian,Jabalya,North Gaza,Gaza Strip,M,Yes,Jabalya,North Gaza,gunfire,shell,Israeli security forces
25.0,Palestinian,Jabalya,North Gaza,Gaza Strip,M,Yes,Jabalya,North Gaza,gunfire,shell,Israeli security forces
23.0,Palestinian,Jabalya,North Gaza,Gaza Strip,M,Yes,Jabalya,North Gaza,gunfire,shell,Israeli security forces
22.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,Yes,Beit Lahiya,North Gaza,gunfire,shell,Israeli security forces
26.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,Yes,Beit Lahiya,North Gaza,gunfire,shell,Israeli security forces
22.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,Yes,Beit Lahiya,North Gaza,gunfire,shell,Israeli security forces
34.0,Palestinian,al-Fukhari,Khan Yunis,Gaza Strip,M,Yes,al-Fukhari,Khan Yunis,gunfire,missile,Israeli security forces
27.0,Palestinian,al-Fukhari,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
24.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
24.0,Palestinian,al-Fukhari,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
21.0,Palestinian,'Abasan al-Kabirah,Khan Yunis,Gaza Strip,M,Yes,Abasan al-Kabira,Khan Yunis,gunfire,missile,Israeli security forces
22.0,Palestinian,al-Qararah,Khan Yunis,Gaza Strip,M,Yes,al-Qararah,Khan Yunis,gunfire,missile,Israeli security forces
37.0,Palestinian,Rafah,Rafah,Gaza Strip,F,No,Rafah,Rafah,gunfire,missile,Israeli security forces
11.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,F,No,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
82.0,Palestinian,Khuza'ah,Khan Yunis,Gaza Strip,F,No,Khuza'a,Khan Yunis,gunfire,missile,Israeli security forces
18.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
5.0,Palestinian,Khuza'ah,Khan Yunis,Gaza Strip,M,No,Khuza'a,Khan Yunis,gunfire,missile,Israeli security forces
25.0,Palestinian,Khuza'ah,Khan Yunis,Gaza Strip,M,Yes,Khuza'a,Khan Yunis,gunfire,missile,Israeli security forces
32.0,Palestinian,'Abasan al-Kabirah,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
20.0,Palestinian,'Abasan al-Kabirah,Khan Yunis,Gaza Strip,M,No,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces
24.0,Palestinian,al-Fukhari,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
33.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Jabalya,North Gaza,gunfire,missile,Israeli security forces
30.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
28.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
21.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
20.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
19.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
30.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
25.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
23.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
25.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
22.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
28.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
18.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
20.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
18.0,Palestinian,al-Jalameh,Jenin,West Bank,M,,Qabatiyah,Jenin,gunfire,live ammunition,Israeli security forces
24.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
33.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
22.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
19.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
34.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Jabalya,North Gaza,gunfire,missile,Israeli security forces
23.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Jabalya,North Gaza,gunfire,missile,Israeli security forces
29.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
20.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
19.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
76.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,No,Beit Lahiya,North Gaza,gunfire,missile,Israeli security forces
25.0,Palestinian,al-Mawasi,Khan Yunis,Gaza Strip,M,Yes,al-Mawasi,Khan Yunis,gunfire,missile,Israeli security forces
40.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,No,Beit Lahiya,North Gaza,gunfire,missile,Israeli security forces
67.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,F,No,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
24.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,Yes,Beit Lahiya,North Gaza,gunfire,missile,Israeli security forces
17.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces
63.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,F,No,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
67.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,No,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
20.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
18.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
29.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
69.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,No,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
50.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,F,No,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
2.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,No,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces
27.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,F,No,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
22.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,F,No,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
9.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,No,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
13.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,No,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
2.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,F,No,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
39.0,Palestinian,Deir al-Balah,Deir al-Balah,Gaza Strip,M,No,Wadi a-Salqa,Deir al-Balah,gunfire,missile,Israeli security forces
39.0,Palestinian,Deir al-Balah,Deir al-Balah,Gaza Strip,M,No,a-Zawaydah,Deir al-Balah,gunfire,missile,Israeli security forces
32.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
16.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,F,No,Khuza'a,Khan Yunis,gunfire,missile,Israeli security forces
54.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces
59.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,No,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces
1.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,No,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces
24.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
39.0,Palestinian,al-Qararah,Khan Yunis,Gaza Strip,M,No,al-Qararah,Khan Yunis,gunfire,missile,Israeli security forces
29.0,Palestinian,Khuza'ah,Khan Yunis,Gaza Strip,M,Yes,Abasan al-Kabira,Khan Yunis,gunfire,missile,Israeli security forces
7.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,No,Khuza'a,Khan Yunis,gunfire,missile,Israeli security forces
11.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,F,No,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces
1.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,F,No,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces
52.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,No,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces
5.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,No,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces
23.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,F,No,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces
49.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,F,No,Khuza'a,Khan Yunis,gunfire,missile,Israeli security forces
13.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,No,Khuza'a,Khan Yunis,gunfire,missile,Israeli security forces
4.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,F,No,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces
30.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,F,No,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces
25.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,F,No,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces
1.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,F,No,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces
22.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,F,No,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces
18.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,No,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces
56.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,F,No,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces
23.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
20.0,Israeli,Beit Hanoun,North Gaza,Gaza Strip,M,,Petah Tikva,Israel,gunfire,live ammunition,Palestinian civilians
20.0,Israeli,Beit Hanoun,North Gaza,Gaza Strip,M,,Holon,Israel,gunfire,missile,Palestinian civilians
21.0,Israeli,Khuza'ah,Khan Yunis,Gaza Strip,M,,Ginosar,Israel,gunfire,live ammunition,Palestinian civilians
20.0,Israeli,Khuza'ah,Khan Yunis,Gaza Strip,M,,Jerusalem,Israel,gunfire,live ammunition,Palestinian civilians
20.0,Israeli,al-Bureij R.C.,Deir al-Balah,Gaza Strip,M,,Kfar Vradim,Israel,gunfire,missile,Palestinian civilians
55.0,Palestinian,Deir al-Balah,Deir al-Balah,Gaza Strip,F,No,Deir al-Balah,Deir al-Balah,gunfire,missile,Israeli security forces
32.0,Palestinian,al-Qararah,Khan Yunis,Gaza Strip,M,No,al-Qararah,Khan Yunis,gunfire,missile,Israeli security forces
26.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
24.0,Palestinian,Um a-Naser (al-Bayuk),Rafah,Gaza Strip,M,Unknown,Um a-Naser (al-Bayuk),Rafah,gunfire,missile,Israeli security forces
42.0,Palestinian,Um a-Naser (al-Bayuk),Rafah,Gaza Strip,M,No,Um a-Naser (al-Bayuk),Rafah,gunfire,missile,Israeli security forces
21.0,Palestinian,Khuza'ah,Khan Yunis,Gaza Strip,M,Yes,Abasan al-Kabira,Khan Yunis,gunfire,missile,Israeli security forces
28.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
24.0,Palestinian,'Abasan al-Kabirah,Khan Yunis,Gaza Strip,M,Unknown,Abasan al-Kabira,Khan Yunis,gunfire,missile,Israeli security forces
25.0,Palestinian,al-Mughraqa (Abu Midein),Gaza,Gaza Strip,M,Yes,a-Nuseirat Camp,Deir al-Balah,gunfire,missile,Israeli security forces
26.0,Palestinian,Rafah,Rafah,Gaza Strip,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces
21.0,Palestinian,al-Fukhari,Khan Yunis,Gaza Strip,M,Yes,al-Fukhari,Khan Yunis,gunfire,missile,Israeli security forces
23.0,Palestinian,Deir al-Balah,Deir al-Balah,Gaza Strip,M,Yes,Deir al-Balah,Deir al-Balah,gunfire,missile,Israeli security forces
4.0,Palestinian,a-Nuseirat R.C.,Deir al-Balah,Gaza Strip,M,No,a-Nuseirat Camp,Deir al-Balah,gunfire,missile,Israeli security forces
20.0,Palestinian,al-Mughraqa (Abu Midein),Gaza,Gaza Strip,M,No,al-Mughraqa (Abu Midein),Gaza,gunfire,missile,Israeli security forces
19.0,Palestinian,al-Mughraqa (Abu Midein),Gaza,Gaza Strip,M,Yes,al-Mughraqa (Abu Midein),Gaza,gunfire,missile,Israeli security forces
14.0,Palestinian,al-Mughraqa (Abu Midein),Gaza,Gaza Strip,M,No,al-Mughraqa (Abu Midein),Gaza,gunfire,missile,Israeli security forces
31.0,Palestinian,Bani Suheila,Khan Yunis,Gaza Strip,M,No,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
27.0,Palestinian,Bani Suheila,Khan Yunis,Gaza Strip,M,No,Abasan al-Jadida (a-Saghira),Khan Yunis,gunfire,missile,Israeli security forces
38.0,Palestinian,a-Nuseirat R.C.,Deir al-Balah,Gaza Strip,M,No,al-Mughraqa (Abu Midein),Gaza,gunfire,missile,Israeli security forces
11.0,Palestinian,a-Nuseirat R.C.,Deir al-Balah,Gaza Strip,M,No,al-Mughraqa (Abu Midein),Gaza,gunfire,missile,Israeli security forces
24.0,Palestinian,Bani Suheila,Khan Yunis,Gaza Strip,M,Yes,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces
37.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,No,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
22.0,Palestinian,al-Mughraqa (Abu Midein),Gaza,Gaza Strip,M,Yes,a-Nuseirat Camp,Deir al-Balah,gunfire,missile,Israeli security forces
7.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,No,Gaza city,Gaza,gunfire,live ammunition,Israeli security forces
21.0,Palestinian,al-Fukhari,Khan Yunis,Gaza Strip,M,Yes,al-Fukhari,Khan Yunis,gunfire,missile,Israeli security forces
38.0,Palestinian,Beit Ummar,Hebron,West Bank,M,,Beit Ummar,Hebron,gunfire,live ammunition,Israeli security forces
30.0,Palestinian,Beit Ummar,Hebron,West Bank,M,,Beit Ummar,Hebron,gunfire,live ammunition,Israeli security forces
50.0,Palestinian,Beit Ummar,Hebron,West Bank,M,,Beit Ummar,Hebron,gunfire,live ammunition,Israeli security forces
24.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
30.0,Palestinian,Wadi a-Salqa,Deir al-Balah,Gaza Strip,M,Yes,Wadi a-Salqa,Deir al-Balah,gunfire,missile,Israeli security forces
67.0,Palestinian,Khuza'ah,Khan Yunis,Gaza Strip,M,No,Khuza'a,Khan Yunis,gunfire,missile,Israeli security forces
18.0,Palestinian,Khuza'ah,Khan Yunis,Gaza Strip,M,Yes,Khuza'a,Khan Yunis,gunfire,missile,Israeli security forces
18.0,Palestinian,Khuza'ah,Khan Yunis,Gaza Strip,F,No,Khuza'a,Khan Yunis,gunfire,missile,Israeli security forces
42.0,Palestinian,Bani Suheila,Khan Yunis,Gaza Strip,F,No,Khuza'a,Khan Yunis,gunfire,missile,Israeli security forces
22.0,Palestinian,Deir al-Balah R.C.,Deir al-Balah,Gaza Strip,F,No,Deir al-Balah Camp,Deir al-Balah,gunfire,missile,Israeli security forces
26.745702592087312,Palestinian,Deir al-Balah R.C.,Deir al-Balah,Gaza Strip,F,No,Deir al-Balah Camp,Deir al-Balah,gunfire,missile,Israeli security forces
36.0,Palestinian,a-Nuseirat R.C.,Deir al-Balah,Gaza Strip,M,Yes,a-Nuseirat Camp,Deir al-Balah,gunfire,missile,Israeli security forces
17.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,No,Jabalya,North Gaza,gunfire,missile,Israeli security forces
19.0,Palestinian,Deir al-Balah,Deir al-Balah,Gaza Strip,M,Yes,Wadi a-Salqa,Deir al-Balah,gunfire,missile,Israeli security forces
19.0,Palestinian,Shokat a-Sufi,Rafah,Gaza Strip,M,Yes,Shokat a-Sufi,Rafah,gunfire,missile,Israeli security forces
32.0,Palestinian,Rafah,Rafah,Gaza Strip,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces
28.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,No,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
53.0,Palestinian,Bani Suheila,Khan Yunis,Gaza Strip,M,No,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces
23.0,Palestinian,Egyptian Border,Rafah,Gaza Strip,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces
23.0,Palestinian,Egyptian Border,Rafah,Gaza Strip,M,Yes,a-Shaburah (R.C),Rafah,gunfire,missile,Israeli security forces
28.0,Palestinian,al-'Arrub R.C.,Hebron,West Bank,M,,al-'Arrub Camp,Hebron,gunfire,live ammunition,Israeli security forces
11.0,Palestinian,Deir al-Balah,Deir al-Balah,Gaza Strip,M,No,Wadi a-Salqa,Deir al-Balah,gunfire,missile,Israeli security forces
20.0,Palestinian,Huwarah,Nablus,West Bank,M,,Huwara,Nablus,gunfire,live ammunition,Israeli security forces
64.0,Palestinian,Khuza'ah,Khan Yunis,Gaza Strip,M,No,Khuza'a,Khan Yunis,gunfire,live ammunition,Israeli security forces
65.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,F,No,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
4.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,F,No,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces
25.0,Palestinian,a-Nuseirat R.C.,Deir al-Balah,Gaza Strip,M,No,a-Nuseirat Camp,Deir al-Balah,gunfire,shell,Israeli security forces
30.0,Palestinian,Deir al-Balah,Deir al-Balah,Gaza Strip,F,No,Deir al-Balah,Deir al-Balah,gunfire,missile,Israeli security forces
45.0,Palestinian,a-Nuseirat R.C.,Deir al-Balah,Gaza Strip,M,No,a-Nuseirat Camp,Deir al-Balah,gunfire,missile,Israeli security forces
14.0,Palestinian,Beit Fajjar,Bethlehem,West Bank,M,,Beit Fajjar,Bethlehem,gunfire,live ammunition,Israeli security forces
39.0,Palestinian,Bani Suheila,Khan Yunis,Gaza Strip,M,No,Abasan al-Jadida (a-Saghira),Khan Yunis,gunfire,missile,Israeli security forces
12.0,Palestinian,a-Shaburah (R.C),Rafah,Gaza Strip,M,No,a-Shaburah (R.C),Rafah,gunfire,missile,Israeli security forces
14.0,Palestinian,a-Shaburah (R.C),Rafah,Gaza Strip,M,No,a-Shaburah (R.C),Rafah,gunfire,missile,Israeli security forces
47.0,Palestinian,a-Shaburah (R.C),Rafah,Gaza Strip,M,Yes,a-Shaburah (R.C),Rafah,gunfire,missile,Israeli security forces
19.0,Palestinian,a-Nuseirat R.C.,Deir al-Balah,Gaza Strip,M,No,a-Nuseirat Camp,Deir al-Balah,gunfire,missile,Israeli security forces
12.0,Palestinian,a-Nuseirat R.C.,Deir al-Balah,Gaza Strip,M,No,a-Nuseirat Camp,Deir al-Balah,gunfire,missile,Israeli security forces
25.0,Palestinian,a-Nuseirat R.C.,Deir al-Balah,Gaza Strip,M,Yes,a-Nuseirat Camp,Deir al-Balah,gunfire,missile,Israeli security forces
12.0,Palestinian,a-Nuseirat R.C.,Deir al-Balah,Gaza Strip,M,No,a-Nuseirat Camp,Deir al-Balah,gunfire,missile,Israeli security forces
3.0,Palestinian,a-Nuseirat R.C.,Deir al-Balah,Gaza Strip,M,No,a-Nuseirat Camp,Deir al-Balah,gunfire,missile,Israeli security forces
14.0,Palestinian,Deir al-Balah,Deir al-Balah,Gaza Strip,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces
34.0,Palestinian,Bani Suheila,Khan Yunis,Gaza Strip,M,No,Abasan al-Kabira,Khan Yunis,gunfire,missile,Israeli security forces
20.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
24.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
36.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
21.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
51.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
18.0,Palestinian,al-Maghazi R.C.,Deir al-Balah,Gaza Strip,M,Yes,al-Maghazi R.C.,Deir al-Balah,gunfire,missile,Israeli security forces
19.0,Palestinian,al-Maghazi R.C.,Deir al-Balah,Gaza Strip,M,Yes,al-Maghazi R.C.,Deir al-Balah,gunfire,missile,Israeli security forces
22.0,Palestinian,al-Maghazi R.C.,Deir al-Balah,Gaza Strip,M,Yes,al-Maghazi R.C.,Deir al-Balah,gunfire,missile,Israeli security forces
24.0,Palestinian,al-Maghazi R.C.,Deir al-Balah,Gaza Strip,M,Yes,al-Bureij R.C.,Deir al-Balah,gunfire,missile,Israeli security forces
16.0,Palestinian,al-Maghazi R.C.,Deir al-Balah,Gaza Strip,M,Yes,al-Maghazi R.C.,Deir al-Balah,gunfire,missile,Israeli security forces
19.0,Palestinian,Huwarah,Nablus,West Bank,M,,Huwara,Nablus,gunfire,live ammunition,Israeli civilians
25.0,Palestinian,al-Maghazi R.C.,Deir al-Balah,Gaza Strip,M,Yes,al-Maghazi R.C.,Deir al-Balah,gunfire,missile,Israeli security forces
19.0,Palestinian,al-Maghazi R.C.,Deir al-Balah,Gaza Strip,M,Yes,al-Maghazi R.C.,Deir al-Balah,gunfire,missile,Israeli security forces
23.0,Palestinian,al-Maghazi R.C.,Deir al-Balah,Gaza Strip,M,Yes,al-Maghazi R.C.,Deir al-Balah,gunfire,missile,Israeli security forces
22.0,Palestinian,al-Maghazi R.C.,Deir al-Balah,Gaza Strip,M,Yes,al-Bureij R.C.,Deir al-Balah,gunfire,missile,Israeli security forces
23.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
22.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
17.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
22.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
21.0,Israeli,Beit Hanoun,North Gaza,Gaza Strip,M,,Tel Aviv-Yafo,Israel,gunfire,missile,Palestinian civilians
22.0,Israeli,Gaza Strip,Gaza Strip,Gaza Strip,M,,Meitar,Hebron,gunfire,live ammunition,Palestinian civilians
1.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,F,No,Beit Hanun,North Gaza,gunfire,shell,Israeli security forces
55.0,Palestinian,Khuza'ah,Khan Yunis,Gaza Strip,M,No,Khuza'a,Khan Yunis,gunfire,missile,Israeli security forces
25.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
49.0,Palestinian,a-Shaburah (R.C),Rafah,Gaza Strip,M,No,a-Shaburah (R.C),Rafah,gunfire,missile,Israeli security forces
32.0,Palestinian,al-Qararah,Khan Yunis,Gaza Strip,M,Yes,al-Qararah,Khan Yunis,gunfire,missile,Israeli security forces
31.0,Palestinian,Deir al-Balah,Deir al-Balah,Gaza Strip,M,Yes,Deir al-Balah,Deir al-Balah,gunfire,missile,Israeli security forces
24.0,Palestinian,Deir al-Balah,Deir al-Balah,Gaza Strip,M,Yes,Deir al-Balah,Deir al-Balah,gunfire,missile,Israeli security forces
19.0,Palestinian,Khuza'ah,Khan Yunis,Gaza Strip,M,Yes,Khuza'a,Khan Yunis,gunfire,missile,Israeli security forces
26.0,Palestinian,Khuza'ah,Khan Yunis,Gaza Strip,M,Yes,Khuza'a,Khan Yunis,gunfire,missile,Israeli security forces
58.0,Palestinian,'Abasan al-Jadidah (a-Saghirah),Khan Yunis,Gaza Strip,M,No,Abasan al-Jadida (a-Saghira),Khan Yunis,gunfire,missile,Israeli security forces
